-,അ,അ,malayalam,Gundert (1872) p.23,,,gundert,a,,"{""source"": ""gundert"", ""year"": 1872, ""page"": ""23"", ""etymology"": """"}"
^,,"Found in Tdbh's before initial ര, ല, as അരക്കർ, അരങ്ങു; — passes easily into the sound of എ, as ചെടയൻ from ജട, തെചമി = ദശമി The final അ has often the character of a palatal vowel and corresponds with T ഐ, C എ തല, തലയിൽ, തലെക്കു; പറ, പറെഞ്ഞു.",malayalam,,,,,,,
-,അ,അക,malayalam,Gundert (1872) p.23,,,gundert,a,,"{""source"": ""gundert"", ""year"": 1872, ""page"": ""23"", ""etymology"": """"}"
^,,γa (C.Tu to burst) f a grafted tree V1,english,"Bhr, PT",english,,,,noun,
^,,"അഗെ) and അവ Germ, bud, shoot; അകെക്ക to bud (T കാടു വെട്ടിയാൽ അകെച്ചീടും — വാചാ വെട്ടി മുറിച്ചാൽ അകച്ചീടാ PT അടവി വെട്ടിയാൽ അകെച്ചീടും Bhr.",malayalam,"Bhr, PT",,,,,,
^,,will bud again.,english,,english,,,,noun,
-,അ,അകക്കോട്ട,malayalam,Gundert (1872) p.24,,,gundert,citadel,,"{""source"": ""gundert"", ""year"": 1872, ""page"": ""24"", ""etymology"": """"}"
^,,; ഭടസങ്കുലമകക്കോട്ട KR,malayalam,KR,,,,,,
-,അ,അകങ്കാൽ,malayalam,Gundert (1872) p.24,,,gundert,sole,,"{""source"": ""gundert"", ""year"": 1872, ""page"": ""24"", ""etymology"": """"}"
^,,of foot.,english,,english,,,,noun,
-,അ,അകങ്കൈ,malayalam,Gundert (1872) p.24,,,gundert,palm,,"{""source"": ""gundert"", ""year"": 1872, ""page"": ""24"", ""etymology"": """"}"
^,,of hand.,english,,english,,,,noun,
-,അ,അകത്തഴി,malayalam,Gundert (1872) p.24,,,gundert,providing,,"{""source"": ""gundert"", ""year"": 1872, ""page"": ""24"", ""etymology"": """"}"
^,,food (2),english,,english,,,,noun,
^,,അകത്തഴി നടത്തുക.,malayalam,,,,,,,
-,അ,അകപ്പറങ്കി,malayalam,Gundert (1872) p.24,,,gundert,venereal,,"{""source"": ""gundert"", ""year"": 1872, ""page"": ""24"", ""etymology"": """"}"
^,,disease (med.),english,,english,,,,noun,
-,അ,അകപ്പാടു,malayalam,Gundert (1872) p.24,,,gundert,V,,"{""source"": ""gundert"", ""year"": 1872, ""page"": ""24"", ""etymology"": """"}"
^,,"getting into, what is enclosed, f in an account — inside V1.",english,,english,,,,noun,
-,അ,അകമല,malayalam,Gundert (1872) p.24,,,gundert,valley,,"{""source"": ""gundert"", ""year"": 1872, ""page"": ""24"", ""etymology"": """"}"
^,,", ground surrounded by hills.",english,,english,,,,noun,
-,അ,അകമ്പടികാൎയ്യക്കാരൻ,malayalam,Gundert (1872) p.24,,,gundert,general,,"{""source"": ""gundert"", ""year"": 1872, ""page"": ""24"", ""etymology"": """"}"
^,,"of body-guard, head of Raja's household.",english,,english,,,,noun,
